id;date;from_time;to_time
1;2020-01-30;2020-01-29T12:50:22;2020-01-29T22:43:56
2;2020-01-29;2020-01-29T12:36:48;2020-01-29T13:51:38
3;2020-01-29;2020-01-29T06:15:35;2020-01-29T18:50:50
4;2020-01-29;2020-01-29T09:18:28;2020-01-29T07:20:24
5;2020-01-30;2020-01-29T05:23:06;2020-01-29T08:04:06
6;2020-01-29;2020-01-29T07:58:05;2020-01-30T01:33:36
7;2020-01-29;2020-01-29T18:49:15;2020-01-29T17:34:27
8;2020-01-29;2020-01-29T23:58:18;2020-01-29T16:58:50
9;2020-01-30;2020-01-29T08:41:47;2020-01-30T00:39:04
10;2020-01-29;2020-01-29T04:28:56;2020-01-29T20:16:31
