id;user_name;rating;review;date
1;e-markets;52353;grid-enabled;2020-01-29
2;Chips intermediate Regional;53437;East Caribbean Dollar;2020-01-29
3;Fresh transmitter Steel;76054;microchip navigating;2020-01-29
4;Virtual Handcrafted Concrete Table neural;73765;homogeneous;2020-01-29
5;monetize;31465;Unbranded;2020-01-29
6;Books China deposit;10857;SCSI Glens purple;2020-01-29
7;bypassing Frozen;47492;reboot;2020-01-29
8;HDD open-source;34946;deposit;2020-01-29
9;Manat capacity Grocery;37435;explicit Legacy Gorgeous;2020-01-29
10;Palestinian Territory bus Malaysian Ringgit;60705;Keyboard 1080p;2020-01-29
