id;doctor_idp_code;name;location_name;location
1;capability;morph;motivating Auto Loan Account;International
2;Metal Response XSS;complexity Tajikistan;withdrawal;index cutting-edge Checking Account
3;Cheese;Towels;engineer;Pants payment
4;Auto Loan Account;application Developer Ridge;methodologies;disintermediate withdrawal Strategist
5;back-end CSS Intelligent Metal Bacon;SQL azure;Trinidad and Tobago Dollar;out-of-the-box European Unit of Account 9(E.U.A.-9) invoice
6;bypass;Internal Syrian Pound online;Checking Account deposit;extranet Singapore Dollar
7;Chicken withdrawal;bluetooth;Industrial deposit;XSS Computers Music
8;Senior Alabama;program New Leu primary;Tugrik;Chief
9;Buckinghamshire Dynamic;Berkshire interfaces Response;extend enterprise Planner;Director
10;Generic Plastic Chips white RAM;Yemeni Rial;Illinois;Sleek Wooden Table transparent
